id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
60001369,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,7,march,2017
60001371,MECKLENBURG,CENTERS,5-STAR,1,5,5,12,10,6,2,0,40,140,140,Franchise      Constructed for,Y,9,march,2017
60001371,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,9,march,2017
60001371,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,9,march,2017
60001397,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,0,0,72,72,150,150,Local Public   School,Y,9,march,2017
60001397,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,9,march,2017
60001397,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,9,march,2017
60001410,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,33,3,0,36,50,50,Independent    Constructed for,Y,5,march,2017
60001410,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,50,50,Independent    Constructed for,Y,5,march,2017
60001410,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,5,march,2017
60001428,MECKLENBURG,CENTERS,4-STAR,1,0,1,1,1,3,0,1,7,12,12,Independent    Family,Y,2,march,2017
60001428,MECKLENBURG,CENTERS,4-STAR,2,0,0,1,0,0,0,3,4,5,5,Independent    Family,Y,2,march,2017
60001428,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,2,march,2017
60001429,MECKLENBURG,CENTERS,4-STAR,1,1,0,1,1,2,0,0,5,12,12,Independent    Family,Y,1,march,2017
60001429,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent    Family,Y,1,march,2017
60001429,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Family,Y,1,march,2017
60001440,MECKLENBURG,CENTERS,4-STAR,1,0,0,0,0,0,0,143,143,199,199,Local Public   School,Y,3,march,2017
60001440,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,3,march,2017
60001440,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,3,march,2017
60001441,MECKLENBURG,CENTERS,5-STAR,1,0,0,0,0,0,0,19,19,125,125,Local Public   School,Y,2,march,2017
60001441,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,2,march,2017
60001441,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Local Public   School,Y,2,march,2017
60001460,MECKLENBURG,CENTERS,5-STAR,1,6,19,16,14,15,10,0,80,161,161,Franchise      Constructed for,Y,5,march,2017
60001460,MECKLENBURG,CENTERS,5-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,5,march,2017
60001460,MECKLENBURG,CENTERS,5-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,5,march,2017
60001494,MECKLENBURG,CENTERS,4-STAR,1,5,7,5,20,8,0,29,74,111,111,Independent    Constructed for,Y,2,march,2017
60001494,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,2,march,2017
60001494,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent    Constructed for,Y,2,march,2017
60001516,MECKLENBURG,CENTERS,4-STAR,1,8,21,18,19,19,15,26,126,145,145,Franchise      Constructed for,Y,2,march,2017
60001516,MECKLENBURG,CENTERS,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,2,march,2017
60001516,MECKLENBURG,CENTERS,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Franchise      Constructed for,Y,2,march,2017
60001518,MECKLENBURG,CENTERS,3-STAR,1,0,2,5,3,1,1,0,12,12,12,Independent    Family,Y,2,march,2017
