id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
88000101,Transylvania,Tc Henderson Elem School­the Cubs Den,Center,5 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,5,December,2020
88000102,Transylvania,The Cubhouse At Rosman Elementary,Center,4 Star C 2C,8,1,0,0,0,1,9,5,0,15,18,25,Local Public School School,Y,4,December,2020
88000102,Transylvania,The Cubhouse At Rosman Elementary,Center,4 Star C 2C,8,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,4,December,2020
88000102,Transylvania,The Cubhouse At Rosman Elementary,Center,4 Star C 2C,8,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,Y,4,December,2020
88000105,Transylvania,Wcca­pisgah Forest Children's Center,Center,5 Star C 2C,12,1,0,0,0,3,13,0,0,16,18,18,Head Start Religious,N,4,December,2020
88000105,Transylvania,Wcca­pisgah Forest Children's Center,Center,5 Star C 2C,12,2,0,0,0,0,0,0,0,0,0,0,Head Start Religious,N,4,December,2020
88000105,Transylvania,Wcca­pisgah Forest Children's Center,Center,5 Star C 2C,12,3,0,0,0,0,0,0,0,0,0,0,Head Start Religious,N,4,December,2020
88000106,Transylvania,Wcca­rosman Children's Center,Center,5 Star C 2C,11,1,0,0,0,6,7,3,0,16,18,18,Head Start Converted Building,N,3,December,2020
88000106,Transylvania,Wcca­rosman Children's Center,Center,5 Star C 2C,11,2,0,0,0,0,0,0,0,0,0,0,Head Start Converted Building,N,3,December,2020
88000106,Transylvania,Wcca­rosman Children's Center,Center,5 Star C 2C,11,3,0,0,0,0,0,0,0,0,0,0,Head Start Converted Building,N,3,December,2020
8855018,Transylvania,Rosman Child Care Center,Center,4 Star C 2C,2,1,0,0,0,2,1,1,8,12,29,29,Independent Converted Building,Y,1,December,2020
8855018,Transylvania,Rosman Child Care Center,Center,4 Star C 2C,2,2,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,1,December,2020
8855018,Transylvania,Rosman Child Care Center,Center,4 Star C 2C,2,3,0,0,0,0,0,0,0,0,0,0,Independent Converted Building,Y,1,December,2020
8855042,Transylvania,New Adventure Learning Center,Center,5 Star C 2C,1,1,0,7,14,13,22,12,0,68,79,79,Community Service Community Building,Y,15,December,2020
8855042,Transylvania,New Adventure Learning Center,Center,5 Star C 2C,1,2,0,0,0,0,0,0,0,0,0,0,Community Service Community Building,Y,15,December,2020
8855042,Transylvania,New Adventure Learning Center,Center,5 Star C 2C,1,3,0,0,0,0,0,0,0,0,0,0,Community Service Community Building,Y,15,December,2020
89000015,Tyrrell,Tyrrell Co Head Start & Lrng Center,Center,4 Star C 2C,4,1,0,0,7,3,11,4,0,25,40,40,Head Start Constructed for Child Care,N,6,December,2020
89000015,Tyrrell,Tyrrell Co Head Start & Lrng Center,Center,4 Star C 2C,4,2,0,0,0,0,0,0,0,0,0,0,Head Start Constructed for Child Care,N,6,December,2020
89000015,Tyrrell,Tyrrell Co Head Start & Lrng Center,Center,4 Star C 2C,4,3,0,0,0,0,0,0,0,0,0,0,Head Start Constructed for Child Care,N,6,December,2020
89000019,Tyrrell,Tyrrell Elementary Preschool,Center,5 Star C 2C,7,1,0,0,0,7,18,0,0,25,36,36,Local Public School School,N,5,December,2020
89000019,Tyrrell,Tyrrell Elementary Preschool,Center,5 Star C 2C,7,2,0,0,0,0,0,0,0,0,0,0,Local Public School School,N,5,December,2020
89000019,Tyrrell,Tyrrell Elementary Preschool,Center,5 Star C 2C,7,3,0,0,0,0,0,0,0,0,0,0,Local Public School School,N,5,December,2020
8959000,Tyrrell,Mother's Helper Child Care & Learning Ctr.,Center,Other,10,1,4,8,4,11,5,1,13,46,85,85,Religious Sponsored Constructed for Child Care,Y,9,December,2020
8959000,Tyrrell,Mother's Helper Child Care & Learning Ctr.,Center,Other,10,2,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Constructed for Child Care,Y,9,December,2020
8959000,Tyrrell,Mother's Helper Child Care & Learning Ctr.,Center,Other,10,3,0,0,0,0,0,0,0,0,0,0,Religious Sponsored Constructed for Child Care,Y,9,December,2020
90000080,Union,Precious Blessings Dch,Home,4 Star H 2C,6,1,2,3,1,0,0,0,0,6,8,8,Independent Family Residence,Y,1,December,2020
90000080,Union,Precious Blessings Dch,Home,4 Star H 2C,6,2,0,0,0,0,0,0,0,0,8,8,Independent Family Residence,Y,1,December,2020
90000080,Union,Precious Blessings Dch,Home,4 Star H 2C,6,3,0,0,0,0,0,0,0,0,0,0,Independent Family Residence,Y,1,December,2020
90000099,Union,Pammy's Day Care Home,Home,2 Star H 2C,8,1,0,2,0,1,1,0,1,5,8,8,Independent Family Residence,N,1,December,2020
